,,Inn,,,,,,,,,
The Sleeping,Giant,,,,,,,,,,
The Sunken,Boot,,,,,,,,,,
The Leaning,Dragon,,,,,,,,,,
The Cozy,Bard,,,,,,,,,,
The Wandering,Fox,,,,,,,,,,
The Wicked,Flagon,,,,,,,,,,
The Half-Full,Cask,,,,,,,,,,
The Hond and,Mug,,,,,,,,,,
The Silver,Arrow,,,,,,,,,,
The Golden,Cup,,,,,,,,,,
The Scarlett,Jester,,,,,,,,,,
The Crossed,Boar,,,,,,,,,,
The Pirate's,Basket,,,,,,,,,,
The Angry,Moon,,,,,,,,,,
[FirstName],Lizard,,,,,,,,,,
,Wizard,,,,,,,,,,
,Camel,,,,,,,,,,
,Sword,,,,,,,,,,
,Gate,,,,,,,,,,
,Snake,,,,,,,,,,
,Lion,,,,,,,,,,
,Goose,,,,,,,,,,
,Wheel,,,,,,,,,,
[LastName],Bard,,,,,,,,,,
The Creaking,Horse,,,,,,,,,,
The Crooked,Owl,,,,,,,,,,
The Blue,Bow,,,,,,,,,,
The Red,Siren,,,,,,,,,,
The Ivory,Tavern,,,,,,,,,,
The Lame,Inn,,,,,,,,,,
The Burning,Cloak,,,,,,,,,,
The Striking,Witch,,,,,,,,,,
The Silent,Knight,,,,,,,,,,
The Gilded,Anvil,,,,,,,,,,
The Broken,Arrow,,,,,,,,,,
The Stunted,Warthog,,,,,,,,,,
The Long,Bear,,,,,,,,,,
The Drunken,Bronco,,,,,,,,,,
The Perfumed,Stallion,,,,,,,,,,
The Studded,Pony,,,,,,,,,,
The Giant,Eagle,,,,,,,,,,
The Master,Mountain,,,,,,,,,,
The Lonely,Jester,,,,,,,,,,
The Bloody,Horde,,,,,,,,,,
The Frowning,Spirit,,,,,,,,,,
TheRoaring,Demon,,,,,,,,,,
The Leaping,Lamb,,,,,,,,,,
The Leering,Wolf,,,,,,,,,,
The Slaughtered,Stag,,,,,,,,,,
The Howling,Rose,,,,,,,,,,
The Running,Pegasus,,,,,,,,,,
The Prancing,Dwarf,,,,,,,,,,
The Laughing,Dolphin,,,,,,,,,,
The Staggering,Eel,,,,,,,,,,
The Golden,Prince,,,,,,,,,,
The Silver,King,,,,,,,,,,
The Black,Soldier,,,,,,,,,,
The Barking,Spider,,,,,,,,,,
The Wandering,Satyr,,,,,,,,,,
,,Alchemist,,,,,,,,,
Bubbling,Potions,,,,,,,,,,
Aromatic,Tinctures,,,,,,,,,,
Alchemical,Vials,,,,,,,,,,
Spectacular,Concoctions,,,,,,,,,,
Wondrous,Apothecary,,,,,,,,,,
The Naga's,Alchemy,,,,,,,,,,
The Unicorn's,Philtres,,,,,,,,,,
The Griffon's,Draughts,,,,,,,,,,
[LastName],Elixers,,,,,,,,,,
[FirstName],Brews,,,,,,,,,,
,Doses,,,,,,,,,,
,Libations,,,,,,,,,,
,Decoctions,,,,,,,,,,
,Tonics,,,,,,,,,,
,Infusions,,,,,,,,,,
,Remedies,,,,,,,,,,
,Cures,,,,,,,,,,
,Medicaments,,,,,,,,,,
,,Blacksmith,,,,,,,,,
The Hammer and the,Swords,,,,,,,,,,
Hot Pokers and,Steelworks,,,,,,,,,,
